individuo 4  fitness: 3692793856.000000 POPULACAO INICIAL
individuo 0  fitness: 325283712.000000 geracao :128
individuo 0  fitness: 325283712.000000 geracao :129
individuo 0  fitness: 324130592.000000 geracao :130
individuo 0  fitness: 486966464.000000 geracao :131
individuo 0  fitness: 486966464.000000 geracao :132
individuo 0  fitness: 486966464.000000 geracao :133
individuo 0  fitness: 486966464.000000 geracao :134
individuo 0  fitness: 581540928.000000 geracao :135
individuo 0  fitness: 581540928.000000 geracao :136
individuo 0  fitness: 580769600.000000 geracao :137
individuo 0  fitness: 580769600.000000 geracao :138
individuo 0  fitness: 580769600.000000 geracao :139
individuo 0  fitness: 1042678784.000000 geracao :140
individuo 0  fitness: 257146128.000000 geracao :141
individuo 0  fitness: 257146128.000000 geracao :142
individuo 0  fitness: 257146128.000000 geracao :143
individuo 0  fitness: 257146128.000000 geracao :144
individuo 0  fitness: 257146128.000000 geracao :145
individuo 0  fitness: 257146128.000000 geracao :146
individuo 0  fitness: 257146128.000000 geracao :147
individuo 0  fitness: 257146128.000000 geracao :148
individuo 0  fitness: 257146128.000000 geracao :149
individuo 0  fitness: 257146128.000000 geracao :150
individuo 0  fitness: 257146128.000000 geracao :151
individuo 0  fitness: 257402736.000000 geracao :152
individuo 0  fitness: 195886096.000000 geracao :153
individuo 0  fitness: 203116992.000000 geracao :154
individuo 0  fitness: 203116992.000000 geracao :155
individuo 0  fitness: 203116992.000000 geracao :156
individuo 0  fitness: 174979728.000000 geracao :157
individuo 0  fitness: 174979728.000000 geracao :158
individuo 0  fitness: 174979728.000000 geracao :159
individuo 0  fitness: 174979728.000000 geracao :160
individuo 0  fitness: 174979728.000000 geracao :161
individuo 0  fitness: 174979728.000000 geracao :162
individuo 0  fitness: 1931219968.000000 geracao :163
individuo 0  fitness: 1755426048.000000 geracao :164
individuo 0  fitness: 103148896.000000 geracao :165
individuo 0  fitness: 103148896.000000 geracao :166
individuo 0  fitness: 103148896.000000 geracao :167
individuo 0  fitness: 103148896.000000 geracao :168
individuo 0  fitness: 103148896.000000 geracao :169
individuo 0  fitness: 103148896.000000 geracao :170
individuo 0  fitness: 103148896.000000 geracao :171
individuo 0  fitness: 148988112.000000 geracao :172
individuo 0  fitness: 148988112.000000 geracao :173
individuo 0  fitness: 148988112.000000 geracao :174
individuo 0  fitness: 817320512.000000 geracao :175
individuo 0  fitness: 817320512.000000 geracao :176
individuo 0  fitness: 3764352512.000000 geracao :177
individuo 0  fitness: 3763371008.000000 geracao :178
individuo 0  fitness: 3747683584.000000 geracao :179
individuo 1  fitness: 3716407808.000000 geracao :180
individuo 0  fitness: 4232547840.000000 geracao :181
individuo 1  fitness: 4265920512.000000 geracao :182
individuo 0  fitness: 1042807808.000000 geracao :183
individuo 0  fitness: 1042807808.000000 geracao :184
individuo 0  fitness: 1042807808.000000 geracao :185
individuo 0  fitness: 2368699392.000000 geracao :186
individuo 0  fitness: 252930416.000000 geracao :187
individuo 0  fitness: 265291024.000000 geracao :188
individuo 0  fitness: 65681004.000000 geracao :189
individuo 0  fitness: 65681004.000000 geracao :190
individuo 1  fitness: 65745848.000000 geracao :191
individuo 0  fitness: 65745848.000000 geracao :192
individuo 0  fitness: 65745848.000000 geracao :193
individuo 1  fitness: 1670674304.000000 geracao :194
individuo 0  fitness: 1352635648.000000 geracao :195
individuo 0  fitness: 1352635648.000000 geracao :196
individuo 0  fitness: 1343237376.000000 geracao :197
individuo 0  fitness: 1343237376.000000 geracao :198
individuo 0  fitness: 1343237376.000000 geracao :199
